stock_code,corp_name,year,reprt_code,매출액,영업이익,당기순이익
005930,삼성전자,2024,11011,300870903000000.0,32725961000000.0,34451351000000.0
005930,삼성전자,2024,11012,74068302000000.0,10443878000000.0,9841345000000.0
