stock_code,corp_name,rcept_no,report_nm,rcept_dt,txt_len
005930,삼성전자,20250814003156,반기보고서 (2025.06),20250814,200000
000660,SK하이닉스,20250814003049,반기보고서 (2025.06),20250814,200000
